책장명,도서분류,책제목,작가,출판사,상세내용
2번 책장,만화,비밀. 12,시미즈 레이코,서울문화사,범죄피해자의 뇌를 적출해 생전의 영상기억을 재생하는 기술을 이용하여난해한 사건의 진상을 파헤치는 과학경찰연구소 법의제9연구실.타키자와의 사망과 기밀영상 공개로 모든 사건의 진상...
2번 책장,만화,마법사 시드 & 리드 시리즈. 9,Kiki,학산문화사,『마법사 시드 & 리드 시리즈』제9권. 본 작품은 마법사의 피를 지닌 시드와 리드 형제의 모험담을 흥미롭게 그려낸 만화이다. [완결편]
2번 책장,만화,Paradise Kiss 파라다이스 키스 5,야자와 아이,시공사,스스로의 가능성을 믿지 않으면 아무것도 시작할 수 없어. 우리가 앞으로 다시 만날 수 없다고 해도...
2번 책장,만화,루어. 22,서문다미,학산문화사,"서문다미 만화『루어』제22권. 대신녀의 처소를 벗어나 황실의 정원에서 어린 황족들을 만난 야녹. 그들에게 공격을 받으며 완, 위라이의 제례 의식의 정체를 알게 된다. 한편, 코이누의..."
2번 책장,만화,타로카페 5,김정수,시공사,"상태최상급으로 깨끗합니다/### 7차분입고!!! ###/북코아내 최저가 판매점 푸른소책방입니다상태대비 최저가 판매중입니다./대여점용입니다/만화,판타지,무협소설 최저가 판매중입니다..."
2번 책장,만화,FEEL SO GOOD(필소굿). 9,이시영,서울문화사,"유진의 행방불명,시문과 치애의 첫 키스!이씨 남매의 새어머니감 등장!유진은 형제저승사자들의 포위망에서 시은을 도망시키고,그들을 전투불능 상태로 만든 뒤 사라져버린다.그가 돌아올 때..."
2번 책장,만화,신사동맹 크로스. 11,Arina Tanemura,서울문화사,[표지글] 시즈마사의 병을 알게 된 타카나리는 하이네를 포기하기로 결심한다. 한편 모든 정황을 알게 된 하이네는 토구 저택으로 쳐들어가 토구 가문의 장부 슈이치로를 만나 그림자 제도...
2번 책장,만화,열세번째 남자 12(완결),이상은,학산문화사,[표지글] 희소에게 크리스마스 선물로 '운명의 상대'를 선물하겠다는 베아트리체는 휘영이를 돌려놓기 위해 원래의 자리로 돌아갈 준비를 하는데…! 은희소의 운명 찾기! 그 마지막 이야기!
3번 책장,만화,[만화] 와일드 와일드 스쿨,유은영,삼양(만화),
3번 책장,만화,역전의 프린세스 10,황미리,삼양출판사(만화),"세상에 다시 없을 제멋대로인 이주원의 폭탄고백!!! 날 울게 만들고, 화나게 만들고, 도망치게 만들더니… 또 다시 이주원 때문에 멘붕이 돼버린 강철심! 매 순간순간 서로의 심장을 찐하게..."
3번 책장,만화,밤을 걷는 선비. 19,조주희,서울문화사,"조주희의 『밤을 걷는 선비』 제19권. 그저 내 마음을 아록 싶어! 내가 느끼는 감정이 슬픔인지 원망인지 그리움인지 기쁨인지... 도무지 알 수 가 없어. 울지도, 웃지도 못하겠어..."
3번 책장,만화,사랑해요 뱀파이어 10,황미리,꽃님,"황미리의 만화『사랑해요 뱀파이어』제10권. 200년 동안의 사랑과 전쟁이 또 다시 시작됐다! 너를 사랑하는 게 죄라면… 내 죄는 이미 200년 전에 시작됐다. 널 만나기 위해, 널 사랑하기..."
3번 책장,만화,신부 이야기 8,모리 카오루,대원씨아이,독특한 감성으로 큰 인기를 끌며 많은 사랑을 받았던 만화 《엠마》의 작가 모리카오루의 신작 『신부이야기』 제8권. 19세기 중앙아시아의 실크로드를 배경으로 한 장대한 스케일의 내용과...
3번 책장,만화,[만화] 그녀를 믿지마세요,황미리,꽃님,
3번 책장,만화,천년여우 인간되기 대작전 8,한유랑,꽃님,한유랑의 만화 『천년여우 인간되기 대작전』 제8권. 완결. 옥황상제 아들 '소천'은 천명의 선녀를 농락한 벌을 받아 인간 세상으로 내려온다. 천년 묵은 암컷 여우 '미호'는 인간이 되어...
3번 책장,만화,Paris와 결혼하기 3,이빈,학산문화사(만화/잡지),"이빈 작가가 가지고 있는 개성있는 캐릭터 창조력과 맛깔나는 대사가 강점인 만화로, 만화적 설정을 극대화 시키고 보는 누구나 웃으면서 즐겁게 볼 수 있는 만화이다. 월간 순정만화잡지..."
3번 책장,만화,동물의사 DR.스쿠르. 11,Noriko Sasaki,대원씨아이,
3번 책장,만화,파한집. 6,윤지운,대원씨아이,『파한집』시리즈 제6권. 본 시리즈는 제목 '파한집'에서도 알 수 있듯 이인로의 시화집이기도 하면서 궁극적으로는 한가로움을 깨뜨린다는 의미가 있다. 하여 이야기의 진행 전체가 그저...
3번 책장,만화,보이나요. 3,최미연,서울문화사,최미연의 만화 『보이나요』 제3권. 하영은 지한과 함께 호텔 스파에 놀러갔다 실수로 남자 사우나에 들어간다. 그리고 그곳에서 만난 꽃미남을 환영이라 착각한 하영은 곧 자신의 실수를 개...
3번 책장,만화,마이 스위트 홈. 6,마루,대원씨아이,"[표지글] 건야와 비안이가 커플티를 입고 있는 모습에 그만 화를 내고 돌아가버린 시온. 건아는 시온에 대한 태도를 따지는 비안이에게 그만 해서는 안 될 말을 하고 만다. ""우린 원래..."
3번 책장,만화,독희 2,Mitsukazu Mihara,조은세상,
3번 책장,만화,남극의 로맨스,Hatsu Akiko,시공사,대여점용 / 원하시면 실사진 올려드립니다문의전화 010-4343-0252 02-6084-0252 입니다책 상태는 깨끗합니다 도서 산간지역 제주도 추가 요금있습니다 택배는 로젠택배를 쓰고 있습니다...
3번 책장,만화,정원의 이방인 2,Hatsu Akiko,시공사,** 대여점에서 사용한 중고도서 입니다** 중고책특성상 표지가 약간 낡고 까질수 있으며 까진부분은 테이프로 래핑탈장을 방지위해서 호치키스 밖혀 있을수 있습니다** 판매자의 다른물품...
3번 책장,만화,[만화] 셜록,권교정,학산문화사(만화/잡지),
3번 책장,만화,9개의 밤의 문,Akiko Hatsu,대원,
3번 책장,만화,밤은 오고 사랑을 이야기한다,Akiko Hatsu,대원,대여점용 / 원하시면 실사진 올려드립니다문의전화 010-4343-0252 02-6084-0252 입니다책 상태는 깨끗합니다 도서 산간지역 제주도 추가 요금있습니다 택배는 로젠택배를 쓰고 있습니다...
3번 책장,만화,모란꽃 등불,Akiko Hatsu,대원,1.밤은 오고 사랑을 이야기한다2.9개의 밤의 문3.모란꽃 등불4.꿈 그리고 환상5.추임기6.물에 사는 영혼7.중국인의 저택8.우아한 밤의 손대여점용 /
3번 책장,만화,중국인의 저택,Akiko Hatsu,대원씨아이,
3번 책장,만화,꿈 그리고 환상,Akiko Hatsu,대원,만화방용/속 일러스트지있어요 겉표지 정면상단 세월의 흔적있음
3번 책장,만화,물에 사는 영혼,Akiko Hatsu,대원씨아이,낙장/파장없으며 책상태 좋습니다.사진 참고하세요.
3번 책장,만화,추림기(가을장미의49제),Akiko Hatsu,대원씨아이,대여점용 / 책 양호 합니다물품은 택배로 배송되구요..추가 문의나 찾는 품목있으시면 문자나 전화주세요..010-5305-3938성의를 다해서 구해드림니다.우체국 택배 주문시 연락부탁드립니다...
3번 책장,만화,세상이 가르쳐 준 비밀. 15,하츠 아키코,시공사,커다란 버드나무 옆의 골동품 가게 ‘우유당(雨柳堂)’.현실의 것이 아닌 존재를 보고 느끼는 렌이‘우유당’의 골동품에 깃든 정령과 영혼을 둘러싼 잔잔하고 따뜻한 이야기를 들려준다...
3번 책장,만화,유리가면45(4X6판),미우치 스즈에,대원씨아이,"국내에서는 문고판과 애장판으로 발행된 바 있는[유리가면]이 가장 기본판형으로 발행된다. 현지에서[유리가면]이 연재를 재개하여 다시 붐을 일으키고 있으며 이에 호응하여, 작년에 무려..."
3번 책장,만화,조폭 선생님(완결편),Kozueko Morimoto,대원씨아이,"양쿠미와 그의 제자들이 돌아왔다! 이 책은 15권 그 뒤의 이야기들을 모은 ""완결편""이다. 오랜만에 신의 자취방에 모인 쿠마, 우치, 노다, 미나미는 양쿠미와 신의 관계를 진전시키기 위해..."
3번 책장,만화,[만화] 정체불명 새색시,허국화,학산문화사,
3번 책장,만화,분녀네 선물가게 8,이은,서울문화사,분녀네 선물가게에는 특별한 것이 있다?!
3번 책장,만화,마리히엔 크로니클. 4,윤지운,대원씨아이,윤지운 작가의 판타지 만화『마리히엔크로니클』시리즈 4권. 현실에서 벗어난 마법의 세계에서 꿈과 사랑을 찾아나서는 천방지축 소녀의 이야기를 스텍터클하게 그렸다.
3번 책장,만화,버드키스 5,박은아,학산문화사,박은아의 만화 『버드키스』 제5권. 낙성의 악녀 반미율은 자신에게 일편단심인 소꿉친구 희락이의 마음을 신경쓰지 않는다. 오직 낙성 최고의 꽃미남인 슬리퍼회 회장 규린 선배를 짝사랑할...
3번 책장,만화,아르카나. 10,이소영,대원씨아이,"『아르카나(ARCANA)』시리즈 제10권. 본 시리즈는 수아르국을 구하기 위해 모험을 떠나는 이나스의 모험을 그린 작품으로, 동화적이면서도 신비로운 분위기의 그림이 일품이다."
4번 책장,만화,조강지처 길들이기 12,한유랑,꽃님,"서방은 개뿔! 누가니 서방이고, 누가 내 마누라란 거야? 훗! 그딴 거 알게 뭐람! 아이고, 동네 사람들. 저 말하는 꼴 좀 보소, 집안끼리 언약을 했으니 지키래잖니!!! 누군 좋아서 니 마누라..."
4번 책장,만화,백설지옥강림 10,황미리,꽃님,"[표지글] 한 번 들어가면 살아 돌아오지 못하는 저승! 백설이는 아빠의 혼백을 찾아 엄마가 남긴 저승 통행증을 들고 저승으로 향하는데... 사랑을 빼앗든가, 그녀를 죽이든가. 선택지는..."
4번 책장,만화,키스로 길들여지다 15,황미리,꽃님,어느 날 느닷없이 이름도 모르는 누군가와 운명처럼 키스를 하게 된다면? 게다가 그 상대가 영화배우 뺨치게 생긴 얼짱이라면? 먹깨비에 단세포 눈치는 약에 쓸래야 쓸 수 없을 만큼 둔하기...
4번 책장,만화,[만화] 타락천사,한유랑,꽃님,
4번 책장,만화,"18세, 우리 결혼했어요 10",한유랑,삼양출판사(만화),천계에서 뚝 떨어진 천생연분록. 누군가의 장난으로 운명이 바뀌었다!! 가상현실 세임에서 만난 그 남자 알고 보니 성격 참 까칠하네? 가상현실 게임에서 만난 그 여자 알고 보니 사랑 따위...
4번 책장,만화,마녀의 가게. 9(완결),황미리,삼양출판사,"한유랑의 만화『위험한 기숙사』제 9권. 인터넷 소설 낭만곰탱이(김민선)의 를 원작으로 한 작품이다. 혈혈단신 고아였던 열여덟 소녀, 강다희. 뜻하지도 않게, 늑대소굴 남고의 유일무이..."
4번 책장,만화,메리 튜즈데이 3,이빈,학산문화사,"▶ 1권 표지 뒷장 찢어져 테이프로 붙였습니다.▶ 전권 책표지 상단, 하단 보호용 테이프 붙어 있습니다.▶ 전권 책 윗면, 옆면에 책방용 도장 찍혀 있습니다.▶ 책 위, 밑, 옆면 때자국..."
4번 책장,만화,언년이 이야기 1,하시현,서울문화사,중고서적... 대여점용으로 상태는 보통입니다. 반품이 없도록 미리 문의해주세요. 문의는 070-8267-7655로 해주세요. 만족할 수 있도록 최선을 다하겠습니다.
4번 책장,만화,그린빌에서 만나요 4,유시진,서울문화사,『그린빌에서 만나요』제4권. 어느정도 나이가 들기 전에는 텔레비전과 책 속에 있는 여러 부모들을 보기는 하지만 그건 어차피 만들어진 이야기인 것이고 현실의 무게라는 것은 절대적인 법...
4번 책장,만화,사랑이 싹트다,유키무라,현대지능개발사(루비코믹스),책 크기 : 14.5cm x 20.3cm / 169쪽.상태 : 결함없는 깨끗한 상태의 책입니다.내용 : 형의 죽마고우인 히사시를 어릴 때부터 잘 따랐던 케스케. 어느 날 히사시를 찾아간 케스케는 거기서...
4번 책장,만화,웃지 않는 인어,이마 이치코,현대지능개발사(루비코믹스),"의 작가, 이마 이치코의 단편집. 이번 단편집은 탄탄한 스토리와 인간 관계의 문제점을 독특하게 풀어냈다."
4번 책장,만화,레벨E. 1,토가시 요시히로,학산문화사,"토가시 요시히로의 만화 『레벨E』 제1권. 우주 최고의 천재적인 두뇌와 미모, 그리고 최악의 성질을 가진 도그라 별 첫째 왕자, 일명 바보왕자. 그 마수로부터 지구를 지키는 건, 열혈 야구..."
4번 책장,만화,연모. 9,이소영,대원씨아이,"이소영의 만화 『연모』 제9권. 예종의 병부일지를 손에 넣은 월산군은 자을산군에게 그것을 넘겨주고, 휘를 중심으로 돌아가는 상황들이 위험한 국면에 이르렀음을 알게 된다. 한편 휘는..."
4번 책장,만화,바나나 4(분홍색),원수연,서울문화사,"비닐포장상태로 깨끗합니다####북코아내 최저가 판매점 푸른소책방입니다###상태대비 최저가 판매중입니다./대여점용입니다/만화,판타지,무협소설 최저가 판매중입니다.판매자의 다른물품..."
4번 책장,만화,다섯상자의 비밀,IMAICHIKO,하이북스,팔방미인인 형 코우이치에게 언제나 콤플렉스를 가지고 있는 세이이치. 어느날 유괴를 당하게 된 그는 유괴범들이 형의 친구인 시바타와 미나미라는 것을 알게 된다. 세이이이치는 자신과는...
4번 책장,만화,블랙 패러독스(이토 준지 스페셜 호러 4),이토 준지,X시공사,"2009년 일본에서 발행된 호러 만화의 귀재, 이토 준지의 최신작!“자아… 당신도 어서 이 괴상한 세계로 오시길 바랍니다….”미래를 걱정하는 현직 간호사 마르소, 도플갱어로 고통 받는..."
4번 책장,만화,미미의 괴담,JUNJI ITO,시공사,"▶ 노약자나 임산부, 심장 기능에 이상이 있으신 분들은 읽지 말 것을 권합니다. 『이토 준지 스페셜 호러』시리즈 제2권《미미의 괴담》. 본 시리즈는 그 어떤 작품보다 무섭고 섬뜩한..."
4번 책장,만화,지옥별 레미나(이토 준지 스페셜 호러 5),이토 준지,X시공사,지구로 돌진해 오는 미지의 혹성.정녕 세계는 이렇게 끝이 나고 마는 걸까?!‘웜홀’에서 출현한 미지의 혹성. 그 혹성의 발견자인 오오구로 박사는 자신의 외동딸 이름을 따 '혹성 레미나...
4번 책장,만화,어둠의 목소리(이토 준지 스페셜 호러 1),이토 준지,X시공사,"▶ 노약자나 임산부, 심장 기능에 이상이 있으신 분들은 읽지 말 것을 권합니다. 『이토 준지 스페셜 호러』시리즈 제1권《어둠의 목소리》. 본 시리즈는 그 어떤 작품보다 무섭고 섬뜩한..."
4번 책장,만화,어둠의 목소리 궤담(이토 준지 스페셜 호러 3),이토 준지,X시공사,"▶ 노약자나 임산부, 심장 기능에 이상이 있으신 분들은 읽지 말 것을 권합니다. 『이토 준지 스페셜 호러』시리즈 제3권《신 어둠의 목소리 - 궤담》. 본 시리즈는 그 어떤 작품보다..."
4번 책장,만화,블루블루,이종관,서울문화사,
4번 책장,만화,빨간 구두의 잔상,윤지운,서울문화사,
4번 책장,만화,매점에 가자,허윤미,서울문화사,"2009 서울문화사 신인만화가 대공모전 동상 수상 허윤미 작가의 신작! 우리는 연애하러 매점에 간다!! 월화수목금토일, 아침점심저녁, 매 시간마다 매점으로 찾아오는 그 녀석, 강신후. 모든..."
4번 책장,만화,나라를 구했다. 7,이상은,대원씨아이,"이상은의 만화 『나라를 구했다』 제7권. 28살 꽃띠여자 황민서, 어쩌다 18살 고딩이 되어버린다. 10년 전으로 타임슬립한 황민서는 10년 후에 남친이 될 뻔한 강준현과 10년 후에 최고의..."
4번 책장,만화,바사라27,,,
4번 책장,만화,바사라 5 (완전판),Tamura Yumi,서울문화사,
4번 책장,만화,시화몽. 14,이종은,서울문화사,
4번 책장,만화,카페 키치 죠우지 3,KYOKO NEGISHI 외,삼양출판사(만화),안녕하세요 ^^ 웅이네 서점 입니다대여점용입니다 (원하시면 실사진 올려드립니다 ) 많은 책이 구비되어있으니 판매자의 다른 물품도 많이 이용해주세요 서울 응봉역에 있습니다 도보 1...
4번 책장,만화,OL 비주얼족 20 (완결),Kanatsu Kumi,시공사,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
4번 책장,만화,열혈여아24,,,
4번 책장,만화,너에게 간다 9,한유랑,꽃님,"걱정 마. 나만 믿어~! 네가 잃어버린 기억. 내가 몽땅 다 찾아줄게. 모든 게 다 잘 될 거야~! - 블랙홀 위장에 거침없이 하이킥, 강은우 잃어버린 시간, 무료한 삶. 아직 아무것도 기억나진..."
4번 책장,만화,(만화) 내츄럴 11 : NATURAL (완결),MINAKO NARITA,학산문화사(만화),- 대여점에서 사용한 중고도서 입니다.- 표지가 약간 낡고 까진부분은 테이프로 래핑해놓았으며 -
4번 책장,만화,개똥이 8(완결),이빈,서울문화사,** 대여점에서 사용한 중고도서 입니다** 중고책특성상 표지가 약간 낡고 까질수 있으며 까진부분은 테이프로 래핑탈장을 방지위해서 호치키스 밖혀 있을수 있습니다** 판매자의 다른물품...
4번 책장,만화,넌 너무 멋져 6 (완결),이영희,서울문화사,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
4번 책장,만화,카페봉봉. 1,김윤정,서울문화사,"『카페 봉봉』제1권. 무심한 듯 시크하게 세상을 살아가는 여고생 노아는 사실 결벽증. 노아가 어느 날, 무심코, 어느 낯선 남자의 뒷모습을 따라 찾아간 곳은 코스프레 드레스와 케이크..."
4번 책장,만화,네 마음대로 해 2,Konno Keiko,대원씨아이,** 대여점에서 사용한 중고도서 입니다** 중고책특성상 표지가 약간 낡고 까질수 있으며 까진부분은 테이프로 래핑탈장을 방지위해서 호치키스 밖혀 있을수 있습니다** 판매자의 다른물품...
4번 책장,만화,새빨간 거짓말 1,이시영,시공사,대여점용 / 중상급.호치키스
4번 책장,만화,M의 천국. 4,서현주,서울문화사,"초류의 기발한 작전으로 초능력자 단체 ESP에 대한 단서를 잡은 'M의 천국' 멤버들. 그 덕분에 학교측에서 보상도 받고 다시 평화로운 일상으로 돌아왔지만, 아령은 초류의 기억 속에서 만난..."
4번 책장,만화,천행기. 13,이윤희,서울문화사,"오랫동안 자리를 비운 탓에 처리할 일들이 많은 비월. 하지만 그의 유능한 오른팔,적월희영이 있기에 한시름 놓을 수가 있다. 그런데 그런 그를 이제 적월가로 다시 돌려보내달라는 전..."
4번 책장,만화,안녕 자두야. 32,이빈,학산문화사,말괄량이 자두의 요절복통 이야기! 안녕?! 자두야!!
5번 책장,만화,내 인생의 태클 14,,꽃님,스페셜한 그녀만의 고객 모시기가 시작된다~!!! 안경잡이 찌질이 범생이 쭉쭉빵빵 그녀로 변신하는 순간!! 모든 건 해결된다!!! 낮에도 쪼아~!!! 밤에도 쪼아~!! 불러만 주세용~~♡ 돈이면...
5번 책장,만화,바람피지마! 12,한유랑,꽃님,"한유랑의 만화 『바람 피지마』 제12권. 완결편. 노래면 노래, 운동이면 운동, 공부 빼고 못하는 게 없는 대한민국 최고의 엄친아, 이제희. 어릴 적 첫사랑과 만난 후 인생 최대의 고난(?)이..."
5번 책장,만화,가면속의 사랑 32(완결),한유랑,삼양출판사,살아남기 위해 택했던 남자로서의 현빈에게 운명처럼 다가온 사랑은 새장에 갇힌 새처럼 오직 가면 속에서만 타오르는데. 남장소녀- 여고생의 가슴 찢는 사랑! 어리기에 더 아픈 그리움...
5번 책장,만화,아이돌 쇼핑 12,황미리,꽃님,"난 아울이를 위해서라면 뭐든지 할 수 있어! 왕따 해결사 S, 강송이 오빠 대신 남장하고 명문 청하고에 들어가다! 거기서 만나게 된 그 녀석. 잘생겼지만 성질 더럽고 카리스마를 온몸에..."
5번 책장,만화,서플리9,오카자키 마리,대원씨아이_,"『서플리 9』 광고 회사에서 일하는 후지이는 철야와 휴일근무가 당연히 여겨지는 격무에 시달리고 있었다. 7년동안 사귀던 연인과 헤어지고, 현재는 카메라맨 사하라와 순조롭게 교제중..."
5번 책장,만화,PAPILLON 꽃과 나비. 8,Miwa Ueda,대원씨아이,대여점용 상태양호책은 매일 업데이트 되오니 많은 이용 부탁드립니다.우체국 택배 이용시 추가요금 있습니다. 반드시 연락주세요.제주/도서지역 추가요금 있습니다 .40권 이상주문시 배송료...
5번 책장,만화,절정. 7(무삭제판),이영희,서울문화사,『절정』시리즈 제7권. 두 소년의 서투르지만 진실한 사랑을 다룬 동인만화(야오이)이다. (*19세 미만 구독 불가)
5번 책장,만화,안티 레이디 8,윤지운,서울문화사,"윤지운의 만화 『안티 레이디』 제8권. 효빈의 무개념한 프로포즈 때문에 한바탕 싸운 이원과 상헌은 비 온 뒤에 땅 굳듯이, 서로에게 최선의 관계이기를 다짐한다. 그리고 이원은 '자존심을..."
5번 책장,만화,그녀는 무서워 14,황미리,꽃님,"입만 다문면 퀸카! 하지만 정리정돈의 적 욕이 일상용어인 쏘~ 핫한 그 여자, 진은정. 누가 뭐래도 킹카 모범 청소년에 정리정돈의 제왕 학생회장이기도 한 쏘~쿨한 그 남자, 문소영. 어느..."
5번 책장,만화,사랑의 총알 12,황미리,꽃님,“네가 가식적인 미소를 날릴 때 마다내 주먹이 꿈틀댔다.”“내 주머니에 총이 있다면 네 심장을 날려 버렸을거야.”사랑하지만 사랑할 수 없다는비밀 속의 남자 최은조.꽃미남 아이돌인...
5번 책장,만화,세이 세이 세이 7,황미리,꽃님,"기다려-!!! 니가 어디에, 어떤 모습으로 있든 한눈에 널 알아볼 수 있어. 그게 바로 우리이 운명이니까. 원수도 이런 원수가 없다!! 하는 일마다 사사건건 태클질에 딴지걸기. 세이와 영원이..."
5번 책장,만화,너의 시선 끝에 내가 있다. 11,서문다미,대원씨아이,"서문다미의 만화 『너의 시선 끝에 내가 있다』 제11권. 자신을 거부하는 동하의 과거가 궁금했던 제형은 종건을 따라나서고, 동하는 갑자기 사라진 제형을 찾아 헤맨다. 하지만 동하는 종건..."
5번 책장,만화,하백의 신부 24,윤미경,서울문화사,『레일로드』의 작가 윤미경의 두 번째 연재작. 오랜 가뭄으로 말라버린 마을을 위해 소아는 하백의 신부로 바쳐진다. 죽음을 각오한 그녀가 홀로 바다를 떠돌다 눈 뜬 곳은 하백이 살고...
5번 책장,만화,에뷔오네. 12(완결),김영희,서울문화사,"김영희의 만화 『에뷔오네』 제12권. 앙트완 왕자의 계략에 빠져 이단심문을 받게 된 야신. 에뷔오네는 그의 목숨을 구하는 대가로 앙트완에게 결혼을 약손한다. 공주의 결혼식 당일, 프랑스..."
5번 책장,만화,한눈에 반하다 시즌 2. 11,이시영,대원씨아이,하다의 물오른 연애기가 이제 시즌 2에 돌입했다!!물만난 물고기 같은 우리 하다의 대활약!!한새의 도움은 여전한 가운데 '사랑은 골라보는 거야'라는 기치아래제대로 함 펼쳐보신단다!!하다...
5번 책장,만화,시에스타. 4,이영유,학산문화사,시드는 디아를 유리 공예부에 받아들이고 환영파티를 연다.주정을 부리는 시드를 달래던 디아는 엉겁결에 고백을 하는데?!그리고 성 반데스 축제에서 시드와 베네딕토 두 사람에게댄스파트너...
5번 책장,만화,절대마녀 12,김태연,서울문화사(만화/잡지),"주얼의 죽음으로 충격에 빠진 스카일라는 의식불명의 상태가 되고, 무의식 상태에서 거인이 잠들어 있는 곳에 도착한다. 그곳에서 거인을 만난 스카일라는 거인을 통해 신과 거인, 그리고..."
5번 책장,만화,풀 하우스 16,원수연,서울문화사,"KBS 드라마로 만들어져 더욱 화제를 모았던 원수연의 만화 『풀 하우스』16권. 명예, 외모, 재산 등 모든 것을 갖춘 백마 탄 남자와 별 볼 일 없는 동양의 재투성이 여자의 사랑이라는 주제..."
5번 책장,만화,파라오의 연인 16(완결편),신일숙,서울문화사,"비닐포장상태로 상태 좋습니다/### 6차분 3만권 입고 !!!###/북코아내 최저가 판매점 푸른소책방입니다상태대비 최저가 판매중입니다./대여점용입니다/만화,판타지,무협소설 최저가 판매중..."
5번 책장,만화,날라리 수업. 5,연두,대원씨아이,"학교를 떠들썩하게 만든 양아치 하루와 모범생 영원이의 도피 행각 스캔들. 결국 영원이를 위해 하루는 학교를 그만두게 되고, 영원이는 새로운 모습으로 다시 돌아오겠다는 하루의 말을..."
5번 책장,만화,동경바빌론7,,,
5번 책장,만화,CLOVER4,,,
6번 책장,만화,애인퍼즐 11,황미리,꽃님,리랑이 도와주지 않으면 위기를 벗어날 수 없던 전교 왕따 결이가골동품점에서 구한 검으로 차츰 전교 강자가 된다!?괄괄한 왈가닥에 쌈꾼인 우리랑 갑자기 내 베프 결이가 달라 보인다...
6번 책장,만화,아이돌클럽 12,한유랑,꽃님,"어느 날 외딴 섬 소녀 이유안 앞에 이상형의 “왕자님” 출현!! “널 사랑해. 너와 함께 이 행복을 지키고 싶어.” 하지만, 홀연히 사라진 왕자를 찾기 위해 낯선 도시에 첫발을 내딛고..."
6번 책장,만화,학원제국 12,한유랑,꽃님,하늘과 땅을 두고 충성을 맹세한 두 녀석들! 설마 여자가 대장이라고 숨어 버린건 아니겠지? 나를 사랑도 하지마! 이제 나타나선 날 모른척하는 이유가 뭐야? 그 동안 내가 너희 때문에 흘린...
6번 책장,만화,Good Luck(굿럭). 11(완결),황미리,삼양출판사,하숙생은 구하지만 하숙비는 필요없다고?!!하숙비 대신 요리. 빨래. 청소만 하면 된다고 하니 그 정도 조건이면 대만족. OK!!!그런데…내 얼굴이 비위상해서 실격이라니!하숙생의 면상도...
6번 책장,만화,나의 사랑스런 주인님 14,한유랑,꽃님,"한유랑 만화 『나의 사랑스런 주인님』 제14권(완결). 돈이 된다면 무슨 짓이라도 한다. 사랑도 팔 수 있고, 목숨을 걸 수도 있어. 동생의 복수를 위해 날 이용하겠다고? 자, 이용당해 줄게..."
6번 책장,만화,잘나가는 그놈들에겐 뭔가 특별한것이 있다 11,,꽃님,감히 누가 그들의 앞을 막을까? 잘 나가는 놈 특별한 사랑 법~!! 이 세상에서 가장 특별해서 사랑할 수밖에 없는 그놈들의 가장 특별한 사랑 법~♡ 한 여자를 사랑할 때 마음으로 말하고...
6번 책장,만화,미식과 장미의 나날. 2,Akemi Matsunae,학산문화사,『미식과 장미의 나날』 제2권. 사람은 사랑 없이는 살 수 없다. 먹지 않고는 살 수 없다. 사랑과 식욕 양쪽이 있어야 즐거운 인생인 것이다. 집이 가난해서 늘 먹을 것에 굶주린 5남매 중의...
6번 책장,만화,하이힐을 신은 소녀. 14(완결),천계영,서울문화사,으로 국내외 큰 반향을 일으킨 만화가 천계영의 장편만화『하이힐을 신은 소녀』제14권. 너무나 아름다워서 많은 사람들의 주목을 받는 한 소녀 고경희와 잔인하고 독한 남자 양욱일의...
6번 책장,만화,루비돌. 4,최경아,대원씨아이,"여자도 후계자 후보로 인정해달라고 필사적으로 단식투쟁을 하는 루진. 보다 못한 루하는 할아버지와 거래를 하고, 덕분에 루진은 정식으로 후계자 후보로서 인정받게 된다. 그라나 성씨..."
6번 책장,만화,하나님 연애하다. 5(완결),박희열,서울문화사,"박희열의 만화 『하나님, 연애하다』 제5권. 천생연분 베드로냐? 목숨보다 소중한 회사냐? 둘 중 하나만을 택해야 하는 상황 속에서 고하나는 돌연 자취를 감추는데···! 최대 위기..."
6번 책장,만화,예쁜남자 신드롬11,황미리,삼양미디어,가수가 되는 게 꿈인 한새빛!어느 날 뮤직 콘테스트에서 유명기획사로부터 명함을 받게 되는데…오디션을 본 결과!!“내가 남자인 줄 알았나 봐….남성그룹 멤버로 뽑힌 거였어.”예쁜 남자...
6번 책장,만화,인형가. 5(완결),이선영,학산문화사,사랑을 할 수 없기에 더욱 아름다운 이들의 절실한 사랑노래! 이선영의 순정만화 『인형가』 제5권. 우희는 자신의 존재가 기현을 위태롭게 한다는 걸 깨닫고 충격과 혼란에 빠진다. 보름을...
6번 책장,만화,란제리. 7(완결),서윤영,서울문화사,꽃을 만드는 마을『란제리』제7권(완결). 진무는 아로가 니아메의 사주를 받아 첩자 노릇을 하고 있다는 사실을 알게 된다. 그리고 니아메가 아로를 이용해 왕에게 바칠 민 공방의 속옷...
